run_id,outer_iter,hypothesis_id,backtest_mode,horizon_days,in_sample_period,out_sample_period,combo_idx,mode,threshold_q,optimal_thresholds,universe,region,qlib_market,provider_uri,benchmark_code,mean,std,annualized_return,information_ratio,max_drawdown,net_return
20260205_093103,outer_iter_3,BH_MR_VolCompression_9D_v3,qlib_native,9.0,2015-01-01 ~ 2020-12-31,2021-01-01 ~ 2025-12-31,26,fixed_q90,0.9,,cn,cn,csi500,~/.qlib/qlib_data/cn_data,SH000905,0.0006223987548017027,0.015385572996564862,0.14813090364280523,0.6240846755324057,-0.3386479160979674,0.8426493611698009
20260206_142717,outer_iter_4,BH_MR_Exhaustion_4D_v4,qlib_legacy,4.0,2015-01-01 ~ 2020-12-31,2021-01-01 ~ 2025-12-31,12,optuna,,"{'formula008': 0.65, 'formula010': 0.75, 'formula001': 0.55, 'formula004': 0.8}",cn,cn,csi500,~/.qlib/qlib_data/cn_data,SH000905,0.0006509080101986584,0.016136102607279962,0.1549161064272807,0.622313823035945,-0.44428975031305806,0.88250364025963
20260206_142717,outer_iter_4,BH_MR_Exhaustion_4D_v4,qlib_legacy,4.0,2015-01-01 ~ 2020-12-31,2021-01-01 ~ 2025-12-31,10,optuna,,"{'formula007': 0.65, 'formula012_v1': 0.55, 'formula002': 0.55, 'formula005': 0.8}",cn,cn,csi500,~/.qlib/qlib_data/cn_data,SH000905,0.0005574006163569823,0.0138923559229736,0.13266134669296178,0.6189848530703084,-0.23914357512265183,0.7479620360841999
20260206_002735,root,BH_MR_Exhaustion_5D_v1,qlib_native,5.0,2015-01-01 ~ 2020-12-31,2021-01-01 ~ 2025-12-31,15,optuna,,"{'formula008': 0.8, 'formula010': 0.75, 'formula004': 0.6, 'formula003': 0.8}",cn,cn,csi500,~/.qlib/qlib_data/cn_data,SH000905,0.0006747083936869822,0.016873008635926,0.16058059769750177,0.6168961541104568,-0.3326048853755295,0.9084724958484065
20260207_172843,outer_iter_2,BH_MR_PostSelloffStability_7D_v1,qlib_legacy,7.0,2015-01-01 ~ 2020-12-31,2021-01-01 ~ 2025-12-31,19,fixed_q80,0.8,,cn,cn,csi500,~/.qlib/qlib_data/cn_data,SH000905,0.0006880199671782319,0.017437310185243506,0.1637487521884192,0.6087094269010488,-0.5599362175491712,0.9172921208978537
20260205_033043,outer_iter_2,BH_CT_Uptrend_Volume_Pullback_15D_v2,qlib_native,15.0,2015-01-01 ~ 2020-12-31,2021-01-01 ~ 2025-12-31,7,optuna,,"{'formula009': 0.7, 'formula011': 0.85, 'formula004': 0.55, 'formula003': 0.55}",cn,cn,csi500,~/.qlib/qlib_data/cn_data,SH000905,0.0005283759454047306,0.013407807518331911,0.1257534750063259,0.60795824102691,-0.29521959436795464,0.70192180715081
20260205_071333,outer_iter_1,BH_Continuation_Pullback_21D_v1,qlib_native,21.0,2015-01-01 ~ 2020-12-31,2021-01-01 ~ 2025-12-31,8,fixed_q90,0.9,,cn,cn,csi500,~/.qlib/qlib_data/cn_data,SH000905,0.0007110797002044764,0.018297562754905877,0.1692369686486654,0.5995335811122355,-0.4236169094569515,0.9361568492374117
20260206_142717,outer_iter_5,BH_MR_Exhaustion_6D_v5,qlib_legacy,6.0,2015-01-01 ~ 2020-12-31,2021-01-01 ~ 2025-12-31,49,optuna,,"{'formula004': 0.55, 'formula009': 0.85, 'formula015': 0.75, 'formula012': 0.6, 'formula001': 0.55}",cn,cn,csi500,~/.qlib/qlib_data/cn_data,SH000905,0.000594595824645175,0.01568871964254565,0.14151380626555166,0.5846861837381022,-0.23962504095690362,0.7745669094567695
20260206_142717,outer_iter_5,BH_MR_Exhaustion_6D_v5,qlib_legacy,6.0,2015-01-01 ~ 2020-12-31,2021-01-01 ~ 2025-12-31,137,fixed_q80,0.8,,cn,cn,csi500,~/.qlib/qlib_data/cn_data,SH000905,0.0008029361856075968,0.021382294459086952,0.19109881217460803,0.5793155727744385,-0.5435325097102005,1.014236774926525
20260205_093103,outer_iter_2,BH_Uptick_TrendCompression_12D_v2,qlib_native,12.0,2015-01-01 ~ 2020-12-31,2021-01-01 ~ 2025-12-31,6,optuna,,"{'formula010': 0.65, 'formula008': 0.55, 'formula006': 0.55, 'formula001': 0.85}",cn,cn,csi500,~/.qlib/qlib_data/cn_data,SH000905,0.0006005913340832236,0.01600693209737059,0.14294073751180722,0.578841202916492,-0.47665253627685844,0.773849148552197
20260206_142717,outer_iter_5,BH_MR_Exhaustion_6D_v5,qlib_legacy,6.0,2015-01-01 ~ 2020-12-31,2021-01-01 ~ 2025-12-31,16,optuna,,"{'formula004': 0.8, 'formula007': 0.75, 'formula015': 0.75, 'formula012': 0.55, 'formula001': 0.55}",cn,cn,csi500,~/.qlib/qlib_data/cn_data,SH000905,0.00054622393664553,0.014584079331303049,0.13000129692163614,0.5778035268249326,-0.2663499005930082,0.7046044520371653
20260206_142717,outer_iter_5,BH_MR_Exhaustion_6D_v5,qlib_legacy,6.0,2015-01-01 ~ 2020-12-31,2021-01-01 ~ 2025-12-31,43,optuna,,"{'formula004': 0.85, 'formula009': 0.7, 'formula015': 0.7, 'formula010': 0.65, 'formula001': 0.65}",cn,cn,csi500,~/.qlib/qlib_data/cn_data,SH000905,0.0005619068131451331,0.015028063736382526,0.13373382152854169,0.5768325354502927,-0.34230329976219626,0.7221663623694554
20260205_093103,outer_iter_2,BH_Uptick_TrendCompression_12D_v2,qlib_native,12.0,2015-01-01 ~ 2020-12-31,2021-01-01 ~ 2025-12-31,4,optuna,,"{'formula010': 0.55, 'formula008': 0.55, 'formula005': 0.65, 'formula001': 0.55}",cn,cn,csi500,~/.qlib/qlib_data/cn_data,SH000905,0.0007340278163331303,0.020020337718066567,0.174698620287285,0.5656263034337056,-0.6177292075180916,0.915835609666025
20260206_142717,outer_iter_5,BH_MR_Exhaustion_6D_v5,qlib_legacy,6.0,2015-01-01 ~ 2020-12-31,2021-01-01 ~ 2025-12-31,67,optuna,,"{'formula005': 0.65, 'formula007': 0.6, 'formula015': 0.6, 'formula011': 0.8, 'formula001': 0.75}",cn,cn,csi500,~/.qlib/qlib_data/cn_data,SH000905,0.0005355439586816256,0.01461858871097763,0.1274594621662269,0.5651687697873485,-0.3823417874511662,0.6814531880774966
20260205_093008,outer_iter_2,BH_BR_PullbackSupport_10D_v2,qlib_native,10.0,2015-01-01 ~ 2020-12-31,2021-01-01 ~ 2025-12-31,16,optuna,,"{'formula006': 0.55, 'formula003': 0.65, 'formula008': 0.65, 'formula012': 0.6}",cn,cn,csi500,~/.qlib/qlib_data/cn_data,SH000905,0.0007087573692051872,0.019681593369497503,0.16868425387083455,0.5555534016526895,-0.6053507385690527,0.870965425388913
20260206_142717,outer_iter_5,BH_MR_Exhaustion_6D_v5,qlib_legacy,6.0,2015-01-01 ~ 2020-12-31,2021-01-01 ~ 2025-12-31,110,optuna,,"{'formula005': 0.6, 'formula009': 0.6, 'formula015': 0.55, 'formula011': 0.7, 'formula002': 0.6}",cn,cn,csi500,~/.qlib/qlib_data/cn_data,SH000905,0.00066042254006278,0.01837131140936973,0.15718056453494164,0.5545876662327822,-0.4120228548812532,0.816552804002973
20260205_033043,outer_iter_1,BH_CT_Uptrend_Pullback_10D_v1,qlib_native,10.0,2015-01-01 ~ 2020-12-31,2021-01-01 ~ 2025-12-31,1,optuna,,"{'formula010': 0.7, 'formula004': 0.65, 'formula013': 0.6, 'formula007': 0.6, 'formula001': 0.65}",cn,cn,csi500,~/.qlib/qlib_data/cn_data,SH000905,0.0006001144451139684,0.016733480009107096,0.14282723793712448,0.5532689399044807,-0.3868879367650666,0.7484660759331403
20260206_144300,outer_iter_2,BH_Continuation_Pullback_7D_v2,qlib_legacy,7.0,2015-01-01 ~ 2020-12-31,2021-01-01 ~ 2025-12-31,44,optuna,,"{'formula002': 0.55, 'formula015': 0.9, 'formula004': 0.55, 'formula011': 0.55, 'formula009_v1': 0.9}",cn,cn,csi500,~/.qlib/qlib_data/cn_data,SH000905,0.0005488139851299592,0.015374776444672878,0.13061772846093028,0.5506870181493683,-0.33234946453719594,0.6855970109618341
20260206_142717,outer_iter_3,BH_MR_Exhaustion_5D_v3,qlib_legacy,5.0,2015-01-01 ~ 2020-12-31,2021-01-01 ~ 2025-12-31,38,optuna,,"{'formula014': 0.55, 'formula010': 0.65, 'formula004': 0.65, 'formula001': 0.55, 'formula008_v1': 0.55}",cn,cn,csi500,~/.qlib/qlib_data/cn_data,SH000905,0.0005670143046490446,0.01594802155312082,0.1349494045064726,0.5484987978030738,-0.37703153654188376,0.7050371601679706
20260202_125915,outer_iter_5,BH_MR_PanicSelling_3D_v1,qlib_native,3.0,2015-01-01 ~ 2020-12-31,2021-01-01 ~ 2025-12-31,12,optuna,,"{'formula008': 0.55, 'formula012': 0.55, 'formula001_v1': 0.55, 'formula006': 0.8}",cn,cn,csi500,~/.qlib/qlib_data/cn_data,SH000905,0.0006885380533086633,0.019396904438741595,0.16387205668746185,0.5476259248811121,-0.4770559166396988,0.8415333494491815
20260207_051736,outer_iter_1,BH_Continuation_Breakout_5D_v1,qlib_legacy,5.0,2015-01-01 ~ 2020-12-31,2021-01-01 ~ 2025-12-31,26,optuna,,"{'formula002': 0.75, 'formula009': 0.55, 'formula010': 0.7, 'formula005': 0.65, 'formula013': 0.55}",cn,cn,csi500,~/.qlib/qlib_data/cn_data,SH000905,0.0005987039099407131,0.016941480692820886,0.1424915305658897,0.5451916651334773,-0.43986805963067616,0.7387143439501238
20260206_142717,outer_iter_5,BH_MR_Exhaustion_6D_v5,qlib_legacy,6.0,2015-01-01 ~ 2020-12-31,2021-01-01 ~ 2025-12-31,132,fixed_q80,0.8,,cn,cn,csi500,~/.qlib/qlib_data/cn_data,SH000905,0.0008506885072319746,0.024162786737341332,0.20246386472120995,0.5431402943031988,-0.6011320973594827,0.9823245133674885
20260206_144300,outer_iter_2,BH_Continuation_Pullback_7D_v2,qlib_legacy,7.0,2015-01-01 ~ 2020-12-31,2021-01-01 ~ 2025-12-31,62,optuna,,"{'formula003_v2': 0.65, 'formula013': 0.55, 'formula006': 0.65, 'formula010': 0.6, 'formula009_v1': 0.85}",cn,cn,csi500,~/.qlib/qlib_data/cn_data,SH000905,0.0005781739518942482,0.0167210656370264,0.13760540055083106,0.5334368930436064,-0.5983608796239027,0.7023436575150059
20260206_142717,outer_iter_5,BH_MR_Exhaustion_6D_v5,qlib_legacy,6.0,2015-01-01 ~ 2020-12-31,2021-01-01 ~ 2025-12-31,79,fixed_q80,0.8,,cn,cn,csi500,~/.qlib/qlib_data/cn_data,SH000905,0.0006143641195122372,0.017793372008379948,0.14621866044391246,0.5326673331390833,-0.488642558490886,0.7414017164799724
20260205_093220,outer_iter_2,BH_Continuation_TrendPullback_20MA_10D_v1,qlib_native,10.0,2015-01-01 ~ 2020-12-31,2021-01-01 ~ 2025-12-31,17,optuna,,"{'formula008': 0.7, 'formula005_v1': 0.6, 'formula003': 0.55, 'formula010': 0.55}",cn,cn,csi500,~/.qlib/qlib_data/cn_data,SH000905,0.0005630875213076751,0.016376075488147228,0.13401483007122666,0.5304623316267331,-0.4683264106122458,0.6831108487827595
